"state","puma22","zcta","stab","ZIPName","PUMA22name","pop20","afact"
"State code","PUMA (2022)","ZIP census tabulation area","State abbr.","ZIP Code name","PUMA22 name","Total population (2020 Census)","puma22-to-zcta allocation factor"
"53","20501","98930","WA","Grandview, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",928,0.0079 
"53","20501","98944","WA","Sunnyside, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",54,0.0005 
"53","20501","99301","WA","Pasco, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",12876,0.1101 
"53","20501","99320","WA","Benton City, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",9943,0.085 
"53","20501","99323","WA","Burbank, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",3882,0.0332 
"53","20501","99324","WA","College Place, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",10226,0.0874 
"53","20501","99326","WA","Connell, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",6240,0.0533 
"53","20501","99329","WA","Dixie, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",206,0.0018 
"53","20501","99330","WA","Eltopia, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",1061,0.0091 
"53","20501","99335","WA","Kahlotus, WA (PO boxes)","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",240,0.0021 
"53","20501","99337","WA","Kennewick, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",46,0.0004 
"53","20501","99338","WA","Kennewick, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",4841,0.0414 
"53","20501","99343","WA","Mesa, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",3206,0.0274 
"53","20501","99344","WA","Othello, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",714,0.0061 
"53","20501","99345","WA","Paterson, WA (PO boxes)","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",159,0.0014 
"53","20501","99346","WA","Plymouth, WA (PO boxes)","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",345,0.0029 
"53","20501","99348","WA","Prescott, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",1667,0.0142 
"53","20501","99350","WA","Prosser, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",12935,0.1106 
"53","20501","99352","WA","Richland, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",193,0.0016 
"53","20501","99353","WA","West Richland, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",615,0.0053 
"53","20501","99360","WA","Touchet, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",1428,0.0122 
"53","20501","99361","WA","Waitsburg, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",1822,0.0156 
"53","20501","99362","WA","Walla Walla, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",43184,0.3691 
"53","20501","99363","WA","Wallula, WA (PO boxes)","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",169,0.0014 
"53","20501","99371","WA","Washtucna, WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",16,0.0001 
"53","20502","99336","WA","Kennewick, WA","Benton County (East Central)--Kennewick & Richland (South) Cities",51127,0.4117 
"53","20502","99337","WA","Kennewick, WA","Benton County (East Central)--Kennewick & Richland (South) Cities",33412,0.269 
"53","20502","99338","WA","Kennewick, WA","Benton County (East Central)--Kennewick & Richland (South) Cities",14276,0.115 
"53","20502","99352","WA","Richland, WA","Benton County (East Central)--Kennewick & Richland (South) Cities",25371,0.2043 
"53","20503","99301","WA","Pasco, WA","Franklin & Benton Counties--Pasco, Richland (North) & West Richland Cities",72396,0.5791 
"53","20503","99320","WA","Benton City, WA","Franklin & Benton Counties--Pasco, Richland (North) & West Richland Cities",272,0.0022 
"53","20503","99352","WA","Richland, WA","Franklin & Benton Counties--Pasco, Richland (North) & West Richland Cities",10198,0.0816 
"53","20503","99353","WA","West Richland, WA","Franklin & Benton Counties--Pasco, Richland (North) & West Richland Cities",17319,0.1385 
"53","20503","99354","WA","Richland, WA","Franklin & Benton Counties--Pasco, Richland (North) & West Richland Cities",24839,0.1987 
"53","20700"," ","WA","[not in a ZCTA]","Chelan & Douglas Counties",1,0 
"53","20700","98801","WA","Wenatchee, WA","Chelan & Douglas Counties",44970,0.3686 
"53","20700","98802","WA","East Wenatchee, WA","Chelan & Douglas Counties",32378,0.2654 
"53","20700","98811","WA","Ardenvoir, WA (PO boxes)","Chelan & Douglas Counties",76,0.0006 
"53","20700","98812","WA","Brewster, WA","Chelan & Douglas Counties",1300,0.0107 
"53","20700","98813","WA","Bridgeport, WA","Chelan & Douglas Counties",2226,0.0182 
"53","20700","98815","WA","Cashmere, WA","Chelan & Douglas Counties",7804,0.064 
"53","20700","98816","WA","Chelan, WA","Chelan & Douglas Counties",7022,0.0576 
"53","20700","98817","WA","Chelan Falls, WA (PO boxes)","Chelan & Douglas Counties",366,0.003 
"53","20700","98821","WA","Dryden, WA (PO boxes)","Chelan & Douglas Counties",434,0.0036 
"53","20700","98822","WA","Entiat, WA","Chelan & Douglas Counties",2253,0.0185 
"53","20700","98823","WA","Ephrata, WA","Chelan & Douglas Counties",121,0.001 
"53","20700","98826","WA","Leavenworth, WA","Chelan & Douglas Counties",7280,0.0597 
"53","20700","98828","WA","Malaga, WA","Chelan & Douglas Counties",2407,0.0197 
"53","20700","98830","WA","Mansfield, WA","Chelan & Douglas Counties",531,0.0044 
"53","20700","98831","WA","Manson, WA","Chelan & Douglas Counties",3955,0.0324 
"53","20700","98836","WA","Monitor, WA (PO boxes)","Chelan & Douglas Counties",515,0.0042 
"53","20700","98843","WA","Orondo, WA","Chelan & Douglas Counties",2074,0.017 
